距	㇑㇕㇐㇑㇐㇑㇀㇐㇕㇐㇗
颖	㇓㇟㇓㇐㇑㇓㇔㇐㇓㇑㇕㇓㇔
斯	㇐㇑㇑㇐㇐㇐㇓㇔㇓㇓㇐㇑
臂	㇕㇐㇓㇑㇕㇐㇔㇐㇔㇓㇐㇐㇑㇑㇆㇐㇐
族	㇔㇐㇆㇓㇓㇐㇓㇐㇐㇓㇏
尚	㇑㇔㇓㇑㇆㇑㇕㇐
尘	㇑㇓㇔㇐㇑㇐
精	㇔㇓㇐㇑㇓㇔㇐㇐㇑㇐㇑㇆㇐㇐
疲	㇔㇐㇓㇔㇀㇇㇓㇑㇇㇏
尽	㇕㇐㇓㇏㇔㇔
蟑	㇑㇕㇐㇑㇐㇔㇔㇐㇔㇓㇐㇑㇕㇐㇐㇐㇑
螂	㇑㇕㇐㇑㇐㇔㇔㇕㇐㇐㇙㇔㇡㇑
巨	㇐㇕㇐㇗
敲	㇔㇐㇑㇕㇐㇑㇆㇑㇕㇐㇑㇐㇇㇏
查	㇐㇑㇓㇏㇑㇕㇐㇐㇐
诶	㇔㇊㇜㇔㇓㇐㇐㇓㇏
哥	㇐㇑㇕㇐㇑㇐㇑㇕㇐㇚
折	㇐㇚㇀㇓㇓㇐㇑
腾	㇓㇆㇐㇐㇔㇓㇐㇐㇓㇏㇕㇉㇐
今	㇓㇏㇔㇇
甚	㇐㇑㇑㇐㇐㇐㇓㇔㇗
咕	㇑㇕㇐㇐㇑㇑㇕㇐
隆	㇡㇑㇓㇇㇏㇐㇓㇐㇐㇑㇐
咚	㇑㇕㇐㇓㇇㇏㇔㇔
科	㇓㇐㇑㇓㇔㇔㇔㇐㇑
技	㇐㇚㇀㇐㇑㇇㇏
伸	㇓㇑㇑㇕㇐㇐㇑
展	㇕㇐㇓㇐㇑㇑㇐㇙㇓㇏
买	㇇㇔㇔㇐㇓㇔
物	㇓㇐㇑㇀㇓㇆㇓㇓
零	㇐㇔㇇㇑㇔㇔㇔㇔㇓㇏㇔㇇㇔
持	㇐㇚㇀㇐㇑㇐㇐㇚㇔
八	㇓㇏
则	㇑㇕㇓㇔㇑㇚
呀	㇑㇕㇐㇐㇜㇚㇓
浮	㇔㇔㇀㇓㇔㇔㇓㇇㇚㇐
土	㇐㇑㇐
悦	㇔㇔㇑㇔㇓㇑㇕㇐㇓㇟
城	㇐㇑㇀㇐㇓㇆㇂㇓㇔
威	㇐㇓㇐㇛㇓㇐㇂㇓㇔
胡	㇐㇑㇑㇕㇐㇓㇆㇐㇐
暂	㇐㇜㇑㇀㇓㇓㇐㇑㇑㇕㇐㇐
犹	㇓㇁㇓㇐㇓㇟㇔
均	㇐㇑㇀㇓㇆㇔㇀
沙	㇔㇔㇀㇑㇓㇔㇓
您	㇓㇑㇓㇇㇚㇓㇔㇔㇂㇔㇔
储	㇓㇑㇔㇊㇐㇑㇐㇓㇑㇕㇐㇐
藏	㇐㇑㇑㇐㇓㇗㇐㇓㇐㇑㇕㇐㇑㇗㇂㇓㇔
波	㇔㇔㇀㇇㇓㇑㇇㇏
炉	㇔㇓㇓㇔㇔㇕㇐㇓
磁	㇐㇓㇑㇕㇐㇔㇓㇐㇜㇜㇔㇜㇜㇔
逛	㇓㇁㇓㇐㇐㇑㇐㇔㇋㇏
购	㇑㇕㇓㇔㇓㇆㇜㇔
赴	㇐㇑㇐㇑㇐㇓㇏㇑㇔
组	㇜㇜㇀㇑㇕㇐㇐㇐
厨	㇐㇓㇐㇑㇕㇐㇔㇓㇀㇐㇚㇔
伴	㇓㇑㇔㇓㇐㇐㇑
院	㇡㇑㇔㇔㇇㇐㇐㇓㇟
广	㇔㇐㇓
状	㇔㇀㇑㇐㇓㇏㇔
况	㇔㇀㇑㇕㇐㇓㇟
挤	㇐㇚㇀㇔㇐㇓㇏㇓㇑
九	㇓㇈
蔬	㇐㇑㇑㇇㇑㇐㇑㇀㇔㇐㇜㇔㇓㇑㇟
植	㇐㇑㇓㇔㇐㇑㇑㇕㇐㇐㇐㇐
耍	㇐㇓㇑㇆㇑㇑㇛㇓㇐
棒	㇐㇑㇓㇔㇐㇐㇐㇓㇏㇐㇐㇑
林	㇐㇑㇓㇔㇐㇑㇓㇏
书	㇕㇆㇑㇔
咫	㇕㇐㇓㇏㇑㇕㇐㇓㇔
尺	㇕㇐㇓㇏
染	㇔㇔㇀㇓㇈㇐㇑㇓㇏
仔	㇓㇑㇇㇚㇐
帝	㇔㇐㇔㇓㇔㇇㇑㇆㇑
蛮	㇔㇐㇑㇑㇓㇔㇑㇕㇐㇑㇐㇔
丢	㇓㇐㇑㇐㇜㇔
陪	㇡㇑㇔㇐㇔㇓㇐㇑㇕㇐
扔	㇐㇚㇀㇡㇓
振	㇐㇚㇀㇐㇓㇐㇐㇙㇓㇏
词	㇔㇊㇆㇐㇑㇕㇐
呵	㇑㇕㇐㇐㇑㇕㇐㇚
义	㇔㇓㇏
递	㇔㇓㇕㇐㇉㇑㇓㇔㇋㇏
负	㇓㇇㇑㇕㇓㇔
责	㇐㇐㇑㇐㇑㇕㇓㇔
颗	㇑㇕㇐㇐㇐㇑㇓㇔㇐㇓㇑㇕㇓㇔
鼠	㇓㇑㇐㇕㇐㇐㇙㇔㇔㇙㇔㇔㇂
搅	㇐㇚㇀㇔㇔㇓㇔㇇㇑㇕㇓㇟
锅	㇓㇐㇐㇐㇙㇑㇕㇐㇑㇆㇓㇔
字	㇔㇔㇇㇇㇚㇐
破	㇐㇓㇑㇕㇐㇇㇓㇑㇇㇏
含	㇓㇏㇔㇇㇑㇕㇐
宰	㇔㇔㇇㇔㇐㇔㇓㇐㇐㇑
势	㇐㇚㇀㇓㇈㇔㇆㇓
言	㇔㇐㇐㇐㇑㇕㇐
仪	㇓㇑㇔㇓㇏
蚊	㇑㇕㇐㇑㇐㇔㇔㇐㇓㇏
珠	㇐㇐㇑㇀㇓㇐㇐㇑㇓㇏
市	㇔㇐㇑㇆㇑
数	㇔㇓㇐㇑㇓㇔㇛㇓㇐㇓㇐㇓㇏
资	㇔㇀㇓㇇㇓㇏㇑㇕㇓㇔
损	㇐㇚㇀㇑㇕㇐㇑㇕㇓㇔
款	㇐㇑㇐㇐㇐㇚㇓㇔㇓㇇㇓㇏
哄	㇑㇕㇐㇐㇑㇑㇐㇓㇔
响	㇑㇕㇐㇓㇑㇆㇑㇕㇐
嘈	㇑㇕㇐㇐㇑㇕㇐㇑㇑㇐㇑㇕㇐㇐
融	㇐㇑㇕㇐㇑㇆㇔㇓㇐㇑㇑㇕㇐㇑㇐㇔
妹	㇛㇓㇐㇐㇐㇑㇓㇏
委	㇓㇐㇑㇓㇏㇛㇓㇐
婉	㇛㇓㇐㇔㇔㇇㇓㇇㇔㇆㇟
慢	㇔㇔㇑㇑㇕㇐㇐㇑㇕㇑㇑㇐㇇㇏
野	㇑㇕㇐㇐㇑㇐㇀㇇㇔㇇㇚
阔	㇔㇑㇆㇔㇔㇀㇓㇐㇑㇑㇕㇐
延	㇓㇑㇐㇗㇋㇏
迟	㇕㇐㇓㇔㇔㇋㇏
岗	㇑㇗㇑㇑㇆㇓㇔
宝	㇔㇔㇇㇐㇐㇑㇐㇔
爸	㇓㇔㇓㇏㇕㇑㇐㇟
盘	㇓㇓㇆㇔㇐㇔㇑㇕㇑㇑㇐
斜	㇓㇔㇐㇐㇚㇓㇔㇔㇔㇐㇑
凯	㇑㇗㇑㇕㇐㇙㇓㇈
德	㇓㇓㇑㇐㇓㇑㇕㇑㇑㇐㇐㇔㇂㇔㇔
愁	㇓㇐㇑㇓㇔㇔㇓㇓㇏㇔㇂㇔㇔
答	㇓㇐㇔㇓㇐㇔㇓㇏㇐㇑㇕㇐
虚	㇑㇐㇇㇓㇐㇟㇑㇑㇔㇓㇐
桥	㇐㇑㇓㇔㇓㇐㇓㇏㇓㇑
练	㇜㇜㇀㇐㇜㇆㇓㇔
琴	㇐㇐㇑㇐㇐㇐㇑㇐㇓㇏㇔㇇
鼓	㇐㇑㇐㇑㇕㇐㇔㇓㇀㇐㇑㇇㇏
励	㇐㇓㇐㇆㇓㇆㇓
肯	㇑㇐㇑㇐㇑㇆㇐㇐
符	㇓㇐㇔㇓㇐㇔㇓㇑㇐㇚㇔
试	㇔㇊㇐㇐㇑㇀㇂㇔
济	㇔㇔㇀㇔㇐㇓㇏㇓㇑
休	㇓㇑㇐㇑㇓㇏
偶	㇓㇑㇑㇕㇐㇐㇑㇆㇑㇀㇔
矿	㇐㇓㇑㇕㇐㇔㇐㇓
泉	㇓㇑㇕㇐㇐㇚㇇㇓㇏
素	㇐㇐㇑㇐㇜㇜㇔㇚㇓㇔
哈	㇑㇕㇐㇓㇏㇐㇑㇕㇐
润	㇔㇔㇀㇔㇑㇆㇐㇐㇑㇐
赠	㇑㇕㇓㇔㇔㇓㇑㇕㇑㇔㇓㇐㇑㇕㇐㇐
厉	㇐㇓㇐㇆㇓
害	㇔㇔㇇㇐㇐㇐㇑㇑㇕㇐
键	㇓㇐㇐㇐㇙㇕㇐㇐㇐㇐㇑㇋㇏
泡	㇔㇔㇀㇓㇆㇕㇐㇟
脚	㇓㇆㇐㇐㇐㇑㇐㇜㇔㇆㇑
筋	㇓㇐㇔㇓㇐㇔㇓㇆㇐㇐㇆㇓
民	㇕㇐㇙㇐㇂
医	㇐㇓㇐㇐㇓㇔㇗
曾	㇔㇓㇑㇕㇑㇔㇓㇐㇑㇕㇐㇐
随	㇡㇑㇐㇓㇑㇆㇐㇐㇔㇋㇏
草	㇐㇑㇑㇑㇕㇐㇐㇐㇑
讲	㇔㇊㇐㇐㇓㇑
粤	㇓㇑㇕㇔㇓㇐㇑㇓㇔㇐㇐㇉
搜	㇐㇚㇀㇓㇑㇐㇕㇐㇐㇑㇇㇏
索	㇐㇑㇔㇇㇜㇜㇔㇚㇓㇔
终	㇜㇜㇀㇓㇇㇏㇔㇔
粉	㇔㇓㇐㇑㇓㇔㇓㇏㇆㇓
造	㇓㇐㇑㇐㇑㇕㇐㇔㇋㇏
暑	㇑㇕㇐㇐㇐㇑㇐㇓㇑㇕㇐㇐
假	㇓㇑㇕㇐㇑㇐㇐㇕㇐㇇㇏
遗	㇑㇕㇐㇑㇐㇑㇕㇓㇔㇔㇋㇏
憾	㇔㇔㇑㇐㇓㇐㇑㇕㇐㇂㇓㇔㇔㇂㇔㇔
甲	㇑㇕㇐㇐㇑
醛	㇐㇑㇕㇓㇗㇐㇐㇐㇑㇑㇓㇏㇐㇐㇑㇐
谋	㇔㇊㇐㇑㇑㇐㇐㇐㇑㇓㇏
杀	㇓㇔㇐㇚㇓㇔
写	㇔㇇㇐㇉㇐
挂	㇐㇚㇀㇐㇑㇐㇐㇑㇐
帐	㇑㇆㇑㇓㇐㇙㇏
沟	㇔㇔㇀㇓㇆㇜㇔
牛	㇓㇐㇐㇑
政	㇐㇑㇐㇑㇀㇓㇐㇓㇏
府	㇔㇐㇓㇓㇑㇐㇚㇔
阴	㇡㇑㇓㇆㇐㇐
影	㇑㇕㇐㇐㇔㇐㇑㇕㇐㇚㇓㇔㇓㇓㇓
启	㇔㇕㇐㇓㇑㇕㇐
囧	㇑㇕㇓㇔㇑㇕㇐
刺	㇐㇑㇆㇑㇓㇔㇑㇚
激	㇔㇔㇀㇓㇑㇕㇐㇐㇔㇐㇆㇓㇓㇐㇓㇏
喉	㇑㇕㇐㇓㇑㇕㇐㇓㇐㇐㇓㇏
咙	㇑㇕㇐㇐㇓㇟㇓㇔
腥	㇓㇆㇐㇐㇑㇕㇐㇐㇓㇐㇐㇑㇐
熏	㇓㇐㇑㇕㇔㇓㇐㇑㇐㇐㇔㇔㇔㇔
按	㇐㇚㇀㇔㇔㇇㇛㇓㇐
钮	㇓㇐㇐㇐㇙㇕㇑㇐㇐
累	㇑㇕㇐㇑㇐㇜㇜㇔㇚㇓㇔
颐	㇐㇑㇑㇕㇐㇑㇗㇐㇓㇑㇕㇓㇔
爬	㇓㇓㇑㇏㇕㇑㇐㇟
呛	㇑㇕㇐㇓㇏㇆㇟
嗓	㇑㇕㇐㇇㇔㇇㇔㇇㇔㇐㇑㇓㇏
敢	㇇㇐㇑㇑㇐㇐㇀㇓㇐㇓㇏
磨	㇔㇐㇓㇐㇑㇓㇔㇐㇑㇓㇏㇐㇓㇑㇕㇐
材	㇐㇑㇓㇔㇐㇚㇓
签	㇓㇐㇔㇓㇐㇔㇓㇏㇐㇔㇔㇓㇐
闷	㇔㇑㇆㇔㇂㇔㇔
阿	㇡㇑㇐㇑㇕㇐㇚
姨	㇛㇓㇐㇐㇕㇐㇉㇓㇏
洒	㇔㇔㇀㇐㇑㇕㇓㇗㇐
令	㇓㇏㇔㇇㇔
遍	㇔㇕㇐㇓㇑㇆㇐㇑㇑㇔㇋㇏
布	㇐㇓㇑㇆㇑
若	㇐㇑㇑㇐㇓㇑㇕㇐
瑕	㇐㇐㇑㇀㇕㇐㇑㇐㇐㇕㇐㇇㇏
疵	㇔㇐㇓㇔㇀㇑㇐㇑㇀㇓㇟
隐	㇡㇑㇓㇇㇕㇐㇐㇔㇂㇔㇔
鼻	㇓㇑㇕㇐㇐㇐㇑㇕㇐㇑㇐㇐㇓㇑
琐	㇐㇐㇑㇀㇑㇔㇓㇑㇕㇓㇔
社	㇔㇇㇑㇔㇐㇑㇐
恐	㇐㇑㇀㇓㇈㇔㇔㇂㇔㇔
吓	㇑㇕㇐㇐㇑㇔
额	㇔㇔㇇㇓㇇㇔㇑㇕㇐㇐㇓㇑㇕㇓㇔
嗪	㇑㇕㇐㇐㇐㇐㇓㇏㇓㇐㇑㇓㇔
页	㇐㇓㇑㇕㇓㇔
跳	㇑㇕㇐㇑㇐㇑㇀㇓㇔㇀㇟㇓㇔
凭	㇓㇑㇓㇐㇑㇐㇓㇈
碍	㇐㇓㇑㇕㇐㇑㇕㇐㇐㇐㇐㇚㇔
瞻	㇑㇕㇐㇐㇐㇓㇇㇐㇓㇓㇔㇔㇐㇐㇐㇑㇕㇐
牡	㇓㇐㇑㇀㇐㇑㇐
胜	㇓㇆㇐㇐㇓㇐㇐㇑㇐
申	㇑㇕㇐㇐㇑
请	㇔㇊㇐㇐㇑㇐㇑㇆㇐㇐
江	㇔㇔㇀㇐㇑㇐
残	㇐㇓㇇㇔㇐㇐㇂㇓㇔
扰	㇐㇚㇀㇐㇓㇟㇔
良	㇔㇕㇐㇐㇙㇓㇏
凡	㇓㇈㇔
养	㇔㇓㇐㇐㇐㇓㇏㇓㇑
返	㇓㇓㇇㇔㇔㇋㇏
券	㇔㇓㇐㇐㇓㇏㇆㇓
注	㇔㇔㇀㇔㇐㇐㇑㇐
忽	㇓㇆㇓㇓㇔㇂㇔㇔
移	㇓㇐㇑㇓㇔㇓㇇㇔㇓㇇㇔
孙	㇇㇚㇀㇚㇓㇔
膈	㇓㇆㇐㇐㇐㇑㇕㇐㇑㇆㇔㇓㇐㇑
踏	㇑㇕㇐㇑㇐㇑㇀㇚㇇㇓㇏㇑㇕㇐㇐
糊	㇔㇓㇐㇑㇓㇔㇐㇑㇑㇕㇐㇓㇆㇐㇐
涂	㇔㇔㇀㇓㇏㇐㇐㇚㇓㇔
盏	㇐㇐㇂㇓㇔㇑㇕㇑㇑㇐
副	㇐㇑㇕㇐㇑㇕㇐㇑㇐㇑㇚
采	㇓㇔㇔㇓㇐㇑㇓㇏
撑	㇐㇚㇀㇑㇔㇓㇔㇇㇑㇕㇐㇓㇐㇐㇚
嫌	㇛㇓㇐㇔㇓㇐㇕㇐㇐㇑㇑㇓㇏
奔	㇐㇓㇏㇐㇑㇐㇓㇑
命	㇓㇏㇐㇑㇕㇐㇆㇑
串	㇑㇕㇐㇑㇕㇐㇑
熨	㇕㇐㇓㇐㇐㇚㇓㇔㇐㇚㇔㇔㇓㇓㇏
斗	㇔㇔㇐㇑
颜	㇔㇐㇔㇓㇐㇓㇓㇓㇓㇐㇓㇑㇕㇓㇔
怀	㇔㇔㇑㇐㇓㇑㇔
敌	㇓㇐㇑㇑㇕㇐㇓㇐㇓㇏
莫	㇐㇑㇑㇑㇕㇐㇐㇐㇓㇏
欠	㇓㇇㇓㇏
穿	㇔㇔㇇㇓㇔㇐㇜㇚㇓
掏	㇐㇚㇀㇓㇆㇓㇐㇐㇑㇗㇑
悔	㇔㇔㇑㇓㇐㇗㇆㇔㇐㇔
幽	㇑㇜㇜㇔㇜㇜㇔㇗㇑
寸	㇐㇚㇔
湖	㇔㇔㇀㇐㇑㇑㇕㇐㇓㇆㇐㇐
恭	㇐㇑㇑㇐㇓㇏㇚㇔㇔㇔
巢	㇛㇛㇛㇑㇕㇐㇐㇐㇑㇓㇏
宴	㇔㇔㇇㇑㇕㇐㇐㇛㇓㇐
铺	㇓㇐㇐㇐㇙㇐㇑㇆㇐㇐㇑㇔
炕	㇔㇓㇓㇔㇔㇐㇓㇈
巷	㇐㇑㇑㇐㇓㇏㇕㇐㇟
搭	㇐㇚㇀㇐㇑㇑㇓㇏㇐㇑㇕㇐
粥	㇕㇐㇉㇔㇓㇐㇑㇓㇔㇕㇐㇉
木	㇐㇑㇓㇏
抢	㇐㇚㇀㇓㇏㇆㇟
蓬	㇐㇑㇑㇓㇇㇏㇐㇐㇐㇑㇔㇋㇏
污	㇔㇔㇀㇐㇐㇉
渍	㇔㇔㇀㇐㇐㇑㇐㇑㇕㇓㇔
切	㇐㇙㇆㇓
辛	㇔㇐㇔㇓㇐㇐㇑
晾	㇑㇕㇐㇐㇔㇐㇑㇕㇐㇚㇓㇔
搞	㇐㇚㇀㇔㇐㇑㇕㇐㇑㇆㇑㇕㇐
七	㇐㇟
将	㇔㇀㇑㇓㇇㇔㇐㇚㇔
塑	㇔㇓㇐㇗㇑㇓㇓㇆㇐㇐㇐㇑㇐
滴	㇔㇔㇀㇔㇐㇔㇓㇑㇆㇐㇑㇑㇕㇐
锁	㇓㇐㇐㇐㇙㇑㇔㇓㇑㇕㇓㇔
氛	㇓㇐㇐㇈㇓㇏㇆㇓
岁	㇑㇗㇑㇓㇇㇔
浓	㇔㇔㇀㇔㇇㇓㇙㇓㇏
扑	㇐㇚㇀㇑㇔
万	㇐㇆㇓
船	㇓㇓㇆㇔㇐㇔㇓㇅㇑㇕㇐
膏	㇔㇐㇑㇕㇐㇔㇇㇑㇕㇐㇑㇆㇐㇐
兮	㇓㇏㇐㇉
径	㇓㇓㇑㇇㇔㇐㇑㇐
乘	㇓㇐㇑㇑㇐㇀㇓㇟㇓㇏
妈	㇛㇓㇐㇕㇉㇐
歺	㇑㇐㇓㇇㇔
罪	㇑㇕㇑㇑㇐㇑㇐㇐㇐㇑㇐㇐㇐
遇	㇑㇕㇐㇐㇑㇆㇑㇀㇔㇔㇋㇏
律	㇓㇓㇑㇕㇐㇐㇐㇐㇑
骑	㇕㇉㇀㇐㇓㇔㇐㇑㇕㇐㇚
吹	㇑㇕㇐㇓㇇㇓㇏
班	㇐㇐㇑㇀㇔㇓㇐㇐㇑㇐
逼	㇐㇑㇕㇐㇑㇕㇐㇑㇐㇔㇋㇏
低	㇓㇑㇓㇙㇐㇂㇔
堪	㇐㇑㇀㇐㇑㇑㇐㇐㇐㇓㇔㇗
忧	㇔㇔㇑㇐㇓㇟㇔
噩	㇐㇑㇑㇕㇐㇑㇕㇐㇐㇑㇕㇐㇑㇕㇐㇐
梦	㇐㇑㇓㇔㇐㇑㇓㇏㇓㇇㇔
指	㇐㇚㇀㇓㇟㇑㇕㇐㇐
句	㇓㇆㇑㇕㇐
耐	㇐㇓㇑㇆㇑㇑㇐㇚㇔
爱	㇓㇔㇔㇓㇔㇇㇐㇓㇇㇏
误	㇔㇊㇑㇕㇐㇐㇐㇓㇏
衡	㇓㇓㇑㇓㇇㇑㇕㇐㇑㇐㇐㇓㇔㇐㇐㇚
至	㇐㇜㇔㇐㇑㇐
昏	㇓㇙㇐㇂㇑㇕㇐㇐
暗	㇑㇕㇐㇐㇔㇐㇔㇓㇐㇑㇕㇐㇐
勉	㇓㇇㇑㇕㇐㇓㇟㇆㇓
媲	㇛㇓㇐㇓㇑㇕㇓㇔㇐㇐㇙㇓㇟
廉	㇔㇐㇓㇔㇓㇐㇕㇐㇐㇑㇑㇓㇏
山	㇑㇗㇑
谓	㇔㇊㇑㇕㇐㇑㇐㇑㇆㇐㇐
暖	㇑㇕㇐㇐㇓㇔㇔㇓㇐㇐㇓㇇㇏
旮	㇓㇈㇑㇕㇐㇐
瘩	㇔㇐㇓㇔㇀㇐㇑㇑㇓㇏㇐㇑㇕㇐
涉	㇔㇔㇀㇑㇐㇑㇐㇑㇓㇓
笔	㇓㇐㇔㇓㇐㇔㇓㇐㇐㇟
括	㇐㇚㇀㇓㇐㇑㇑㇕㇐
菊	㇐㇑㇑㇓㇆㇔㇓㇐㇑㇓㇔
倒	㇓㇑㇐㇜㇔㇐㇑㇀㇑㇚
反	㇓㇓㇇㇏
巴	㇕㇑㇐㇟
川	㇓㇑㇑
吉	㇐㇑㇐㇑㇕㇐
刘	㇔㇐㇓㇔㇑㇚
孟	㇇㇚㇐㇑㇕㇑㇑㇐
盖	㇔㇓㇐㇐㇑㇐㇑㇕㇑㇑㇐
徐	㇓㇓㇑㇓㇏㇐㇐㇚㇓㇔
航	㇓㇓㇆㇔㇐㇔㇔㇐㇓㇈
局	㇕㇐㇓㇆㇑㇕㇐
咨	㇔㇀㇓㇇㇓㇏㇑㇕㇐
报	㇐㇚㇀㇆㇑㇇㇏
警	㇐㇑㇑㇓㇆㇑㇕㇐㇓㇐㇓㇏㇔㇐㇐㇐㇑㇕㇐
趟	㇐㇑㇐㇑㇐㇓㇏㇑㇔㇓㇑㇆㇑㇕㇐
诿	㇔㇊㇓㇐㇑㇓㇏㇛㇓㇐
省	㇑㇓㇔㇓㇑㇕㇐㇐㇐
歉	㇔㇓㇐㇕㇐㇐㇑㇑㇓㇔㇓㇇㇓㇏
旗	㇔㇐㇆㇓㇓㇐㇐㇑㇑㇐㇐㇐㇓㇔
频	㇑㇐㇑㇐㇑㇓㇓㇐㇓㇑㇕㇓㇔
曝	㇑㇕㇐㇐㇑㇕㇐㇐㇐㇑㇑㇐㇓㇏㇚㇔㇀㇓㇔
愉	㇔㇔㇑㇓㇏㇐㇑㇆㇐㇐㇑㇚
梅	㇐㇑㇓㇔㇓㇐㇗㇆㇔㇐㇔
逗	㇐㇑㇕㇐㇔㇓㇐㇔㇋㇏
厚	㇐㇓㇑㇕㇐㇐㇇㇚㇐
菌	㇐㇑㇑㇑㇕㇓㇐㇑㇓㇔㇐
斑	㇐㇐㇑㇀㇔㇐㇓㇔㇐㇐㇑㇐
抓	㇐㇚㇀㇓㇓㇑㇏
狂	㇓㇁㇓㇐㇐㇑㇐
竖	㇑㇑㇇㇏㇔㇐㇔㇓㇐
汗	㇔㇔㇀㇐㇐㇑
与	㇐㇉㇐
争	㇓㇇㇕㇐㇐㇚
鳖	㇔㇓㇑㇆㇑㇓㇔㇓㇐㇓㇏㇓㇇㇑㇕㇐㇑㇐㇐
屈	㇕㇐㇓㇗㇑㇑㇗㇑
冬	㇓㇇㇏㇔㇔
燥	㇔㇓㇓㇔㇑㇕㇐㇑㇕㇐㇑㇕㇐㇐㇑㇓㇏
拥	㇐㇚㇀㇓㇆㇐㇐㇑
驾	㇆㇓㇑㇕㇐㇕㇉㇐
歇	㇑㇕㇐㇐㇓㇆㇓㇔㇗㇓㇇㇓㇏
策	㇓㇐㇔㇓㇐㇔㇐㇑㇆㇑㇓㇏
链	㇓㇐㇐㇐㇙㇐㇜㇐㇑㇔㇋㇏
缘	㇜㇜㇀㇜㇇㇐㇓㇁㇓㇓㇓㇏
绕	㇜㇜㇀㇐㇂㇓㇐㇓㇟
弯	㇔㇐㇑㇑㇓㇔㇕㇐㇉
创	㇓㇔㇆㇟㇑㇚
孔	㇇㇚㇀㇟
冻	㇔㇀㇐㇜㇚㇓㇔
涕	㇔㇔㇀㇔㇓㇕㇐㇉㇑㇓
坚	㇑㇑㇇㇏㇐㇑㇐
版	㇓㇑㇐㇕㇓㇓㇇㇏
崩	㇑㇗㇑㇓㇆㇐㇐㇓㇆㇐㇐
溃	㇔㇔㇀㇑㇕㇐㇑㇐㇑㇕㇓㇔
鬼	㇓㇑㇕㇐㇐㇓㇟㇜㇔
劝	㇇㇔㇆㇓
研	㇐㇓㇑㇕㇐㇐㇐㇓㇑
究	㇔㇔㇇㇓㇔㇓㇈
聚	㇐㇑㇑㇐㇐㇀㇇㇔㇓㇑㇓㇓㇓㇏
州	㇔㇓㇔㇑㇔㇑
萍	㇐㇑㇑㇔㇔㇀㇐㇔㇓㇐㇑
秋	㇓㇐㇑㇓㇔㇔㇓㇓㇏
抑	㇐㇚㇀㇓㇙㇆㇑
姜	㇔㇓㇐㇐㇑㇐㇛㇓㇐
耽	㇐㇑㇑㇐㇐㇀㇔㇇㇓㇟
搁	㇐㇚㇀㇔㇑㇆㇓㇇㇏㇑㇕㇐
忆	㇔㇔㇑㇈
疏	㇇㇑㇐㇑㇀㇔㇐㇜㇔㇓㇑㇟
追	㇓㇑㇕㇐㇕㇐㇔㇋㇏
顿	㇐㇗㇑㇙㇐㇓㇑㇕㇓㇔
毕	㇐㇙㇓㇟㇐㇑
拐	㇐㇚㇀㇑㇕㇐㇆㇓
促	㇓㇑㇑㇕㇐㇑㇐㇓㇏
拨	㇐㇚㇀㇜㇓㇇㇏㇔
突	㇔㇔㇇㇓㇔㇐㇓㇏㇔
钝	㇓㇐㇐㇐㇙㇐㇗㇑㇟
赖	㇐㇑㇕㇐㇑㇓㇔㇓㇇㇑㇕㇓㇔
侯	㇓㇑㇕㇐㇓㇐㇐㇓㇏
讹	㇔㇊㇓㇑㇓㇟
欺	㇐㇑㇑㇐㇐㇐㇓㇔㇓㇇㇓㇏
奈	㇐㇓㇏㇐㇐㇚㇓㇔
填	㇐㇑㇀㇐㇑㇑㇕㇐㇐㇐㇐㇓㇔
败	㇑㇕㇓㇔㇓㇐㇓㇏
英	㇐㇑㇑㇑㇕㇐㇓㇏
文	㇔㇐㇓㇏
吟	㇑㇕㇐㇓㇏㇔㇇
瘆	㇔㇐㇓㇔㇀㇜㇔㇐㇓㇏㇓㇓㇓
莲	㇐㇑㇑㇐㇜㇐㇑㇔㇋㇏
佰	㇓㇑㇐㇓㇑㇕㇐㇐
瑞	㇐㇐㇑㇀㇑㇗㇑㇐㇓㇑㇆㇑㇑
赵	㇐㇑㇐㇑㇐㇓㇏㇓㇔
玲	㇐㇐㇑㇀㇓㇏㇔㇇㇔
甜	㇓㇐㇑㇑㇕㇐㇐㇑㇑㇐㇐
兴	㇔㇔㇓㇐㇓㇔
易	㇑㇕㇐㇐㇓㇆㇓㇓
乔	㇓㇐㇓㇏㇓㇑
览	㇑㇑㇓㇐㇔㇑㇕㇓㇟
袁	㇐㇑㇐㇑㇕㇐㇓㇙㇓㇏
叔	㇑㇐㇐㇚㇓㇔㇇㇏
项	㇐㇑㇀㇐㇓㇑㇕㇓㇔
吴	㇑㇕㇐㇐㇐㇓㇏
春	㇐㇐㇐㇓㇏㇑㇕㇐㇐
贝	㇑㇕㇓㇔
晓	㇑㇕㇐㇐㇐㇂㇓㇐㇓㇟
称	㇓㇐㇑㇓㇔㇓㇇㇚㇓㇔
炎	㇔㇓㇓㇔㇔㇓㇓㇏
纯	㇜㇜㇀㇐㇗㇑㇟
倦	㇓㇑㇔㇓㇐㇐㇓㇏㇆㇟
增	㇐㇑㇀㇔㇓㇑㇕㇑㇔㇓㇐㇑㇕㇐㇐
堆	㇐㇑㇀㇓㇑㇔㇐㇐㇐㇑㇐
轮	㇐㇜㇑㇀㇓㇏㇓㇟
祝	㇔㇇㇑㇔㇑㇕㇐㇓㇟
闭	㇔㇑㇆㇐㇚㇓
